Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2015/2015-01-01 13-34-15.JPG,"[203.3606119276814, 170.33317880614106, 161.15467262959842]",0.131269531,"[253.25439803808715, 250.70200945922298, 250.73191361577543]",0.142167969,"[33.2931700926719, 29.5041807507561, 55.24216008151248]",0.221435547,"[107.86661878469576, 93.73227992997265, 114.97140548547821]",0.241972656,"[132.61446578146456, 164.91435266233933, 194.6340865630639]",0.263154297
E:/Organized Photos/2015/2015-01-01 13-37-57.JPG,"[208.9623656826632, 243.78791016652804, 249.94861566144357]",0.131516927,"[240.69441143264575, 159.88898627369403, 152.70586487610674]",0.15359375,"[123.14630977130972, 95.06396179833683, 111.15241683991684]",0.210605469,"[39.88584568117298, 24.534311437794138, 39.04170069614596]",0.226035156,"[112.53016355420482, 156.13462630463462, 206.8069260607032]",0.278248698
E:/Organized Photos/2015/2015-01-01 13-42-28.JPG,"[236.89867841409688, 142.29955947136565, 144.01762114537442]",0.060898438,"[217.8563155989866, 204.3897937024973, 198.2446615997104]",0.190882161,"[68.95328368314149, 56.408598510494244, 70.15470548408938]",0.207278646,"[128.91244111942365, 131.79412579661957, 132.7824882238847]",0.254505208,"[21.196489517308628, 20.157727937591414, 24.28912725499756]",0.286435547
E:/Organized Photos/2015/2015-01-01 14-34-15.JPG,"[251.36585895641252, 249.2166095477144, 249.12506637061364]",0.144960938,"[143.48019317220812, 89.88994970401035, 127.74518182222818]",0.162047526,"[205.7278762006402, 175.8673852721452, 167.29532550693722]",0.166184896,"[40.15036235093998, 42.666247320020496, 88.37952052731353]",0.19452474,"[136.9576947524542, 168.84273505998203, 200.25411399110106]",0.332281901
E:/Organized Photos/2015/2015-01-01 14-37-57.JPG,"[212.86062297485896, 241.12878124926112, 245.25732598566753]",0.134583333,"[128.94308943089445, 102.05836236933783, 128.73139759969047]",0.159928385,"[58.64838496114846, 26.158054287605818, 48.884543015436094]",0.178177083,"[236.787621502333, 150.55619009113744, 146.14622395175286]",0.190185547,"[121.51208544125909, 163.9505152707514, 215.81721004309534]",0.337125651
E:/Organized Photos/2015/2015-01-01 14-42-19.JPG,"[23.78119658119658, 17.968660968660966, 27.43019943019943]",0.150488281,"[64.7437641723356, 45.173696145124715, 48.09659863945579]",0.172799479,"[115.35248256052523, 119.65367254821501, 117.73450964300369]",0.197324219,"[174.35066811123147, 178.89707475622967, 173.0054171180932]",0.225159505,"[247.68737988468934, 250.55317104420243, 250.67713004484304]",0.254228516
E:/Organized Photos/2015/2015-01-01 14-42-28.JPG,"[52.751237387332615, 52.751237387332615, 52.751237387332615]",0.136669922,"[90.6240326874266, 90.6240326874266, 90.6240326874266]",0.155016276,"[21.493765586034918, 21.493765586034918, 21.493765586034918]",0.20188151,"[224.2424211038724, 224.2424211038724, 224.2424211038724]",0.236901042,"[170.64548055852367, 170.64548055852367, 170.64548055852367]",0.26953125
E:/Organized Photos/2015/2015-01-01 15-42-19.JPG,"[35.89084017687937, 27.68827121499262, 53.479174563065875]",0.137815755,"[113.02647008734169, 65.41639296401735, 69.3230664428387]",0.169401042,"[145.58534259355244, 150.10418783041342, 148.96587540167926]",0.193193359,"[190.71804687500025, 195.70633680555548, 189.1285850694447]",0.238694661,"[247.11741071778908, 249.86343411832112, 249.08090526001905]",0.260895182
E:/Organized Photos/2015/2015-01-03 10-44-31.JPG,"[248.6601146601147, 249.47583947583948, 241.51269451269454]",0.101148622,"[91.65387076135636, 65.8208573256558, 46.95137555982085]",0.115755634,"[201.13623046875, 182.20751953124997, 162.03662109374991]",0.17186286,"[158.0250528222155, 117.29369151826138, 84.03139148807729]",0.268524276,"[30.191165821868214, 28.768042481293755, 25.282404055032586]",0.342708609
E:/Organized Photos/2015/2015-01-03 11-44-31.JPG,"[246.6915807560138, 246.54725085910653, 237.49054982817873]",0.102766589,"[197.85099778270512, 177.93525498891353, 155.80709534368074]",0.182955098,"[22.208085612366233, 18.36385255648038, 17.503765358699958]",0.204542348,"[69.35189573459716, 57.369273301737756, 40.977093206951025]",0.206461557,"[161.00524383848978, 115.93314105925538, 78.47928683796539]",0.303274407
