Path,RGB_4,Percent-4,RGB_3,Percent-3,RGB_2,Percent-2,RGB_1,Percent-1
E:/Organized Photos/2021/2021-01-02 19-19-15.jpg,"[98.27026774485053, 76.22162741786848, 70.31225646115055]",0.116259737,"[38.98791807628982, 25.481259844986138, 22.554287827122163]",0.162699233,"[158.0742343794083, 142.02002118064996, 133.44763421232747]",0.321606792,"[199.06739575929194, 183.17122935254338, 172.8805795875269]",0.399434238
E:/Organized Photos/2021/2021-01-02 19-19-20.jpg,"[123.32920964739274, 100.82102617878405, 89.30814697444936]",0.122030781,"[50.43642717603662, 34.09407134071324, 30.377838072498378]",0.194617908,"[169.9743204650476, 154.77090123878182, 147.61335718955328]",0.305346989,"[210.0687440487849, 194.01958691855822, 183.6375663756641]",0.378004322
E:/Organized Photos/2021/2021-01-04 17-36-34.jpg,"[179.76042671342984, 99.36074820984953, 26.49326318865995]",0.149624597,"[184.40914383888514, 163.72675384174872, 144.64415386083792]",0.233160674,"[100.70517530241784, 93.93820993252284, 91.15338385158091]",0.286937552,"[66.66533592337072, 32.66725165784714, 23.366682296202026]",0.330277177
E:/Organized Photos/2021/2021-01-05 10-01-46.jpg,"[215.07791739577735, 194.932150928132, 181.7094958803405]",0.148964698,"[64.88098878309458, 40.96275664411184, 33.333393883431]",0.241324447,"[115.48577969155501, 90.61223553476111, 78.80071017907412]",0.256801491,"[173.79891883373824, 153.9400082903117, 143.42639950395122]",0.352909364
E:/Organized Photos/2021/2021-01-05 13-43-57.jpg,"[135.78362944162436, 139.4022842639594, 136.19162436548226]",0.133423518,"[190.65405777166438, 197.79607977991748, 208.91231086657496]",0.231079604,"[43.17827868852459, 43.17597336065574, 26.16623975409837]",0.316100167,"[93.94897435897435, 94.7597435897436, 59.28307692307693]",0.319396711
E:/Organized Photos/2021/2021-01-05 13-43-58.jpg,"[136.94538741009617, 140.90209624278884, 132.18423811357508]",0.154527504,"[195.238253500322, 202.61676900063162, 213.04672875553157]",0.239193758,"[40.764866285021895, 41.278934134599396, 24.43630643949694]",0.285810326,"[92.27387642643306, 93.47867966172245, 57.47122427641225]",0.320468412
E:/Organized Photos/2021/2021-01-05 13-44-03.jpg,"[138.86522090595088, 144.42967157114535, 143.33119577252182]",0.185654234,"[199.84239125036981, 203.979049568646, 210.17186878361704]",0.220772592,"[40.83615669398906, 36.75666034929954, 24.347512789451564]",0.291786164,"[94.45781885170926, 92.62659026565355, 60.61639690020139]",0.30178701
E:/Organized Photos/2021/2021-01-06 16-17-00.jpg,"[239.52203316963394, 244.91626568778065, 248.62956165153614]",0.033480995,"[54.07280459962135, 37.01394086201135, 27.469100122508063]",0.199062756,"[153.12767652173042, 139.99985585187787, 119.79185587823689]",0.335068624,"[103.42824078660855, 87.27727967406622, 68.39009031063809]",0.432387625
E:/Organized Photos/2021/2021-01-06 16-55-35.jpg,"[27.30696474634566, 24.886500429922613, 24.920894239036976]",0.088685358,"[142.4491876393756, 124.22331952851226, 100.09525326537114]",0.246159855,"[98.23861222563134, 71.63157894736841, 50.38092990323342]",0.31740143,"[178.0488162581186, 165.52419861722186, 145.7609469935051]",0.347753357
E:/Organized Photos/2021/2021-01-08 18-00-41.jpg,"[44.87946560281546, 40.23370085976648, 38.657766139005474]",0.225808501,"[208.78924871786108, 198.5618185986478, 184.07431647590252]",0.233511647,"[115.3833034148488, 104.94925979709565, 93.79230000107708]",0.237165069,"[165.15578849197794, 150.37321406287967, 133.9389211803567]",0.303514783
