Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (USD),Weight,Qty owned,Wanted,Value new (USD),Value used (USD)
1251-2,System,HO 1:87 Vehicles,1955,1:87 Esso Bedford Truck,,1,,,0,,,
1250-2,System,HO 1:87 Vehicles,1955,1:87 Esso Bedford Tanker,,1,,,0,,,
1255-2,System,HO 1:87 Vehicles,1955,1:87 Bedford Fire Engine,,1,,,0,,,
1236-2,System,Town Plan,1955,Garage,,59,,,0,,,
1212-2,System,Town Plan,1955,Small House - Left Set,,21,,,0,,,
1214-2,System,Supplemental,1955,Windows and Doors,,6,,,0,,,
1223-2,System,Supplemental,1955,2 x 2 & 2 x 4 Curved Bricks,,14,,,0,,,
1225-2,System,Supplemental,1955,Mixed Plates Parts Pack,,6,,,0,,,
1241-2,System,Supplemental,1955,8 Road Signs,,8,,,0,,,
1247-2,System,Supplemental,1955,Esso Pumps/Sign,,2,,,0,,,
1200-1,System,Town Plan,1955,"LEGO Town Plan Board, Large Plastic",,1,,,0,,,207.4
1240-2,System,Supplemental,1955,8 Road Signs,,8,,,0,,,
1248-2,System,Supplemental,1955,Painted Trees and Bushes,,6,,,0,,,
1210-2,System,Town Plan,1955,Small Store Set,,30,,,0,,,
1253-2,System,HO 1:87 Vehicles,1955,1:87 Bedford Flatbed Truck,,1,,,0,,,
1256-2,System,HO 1:87 Vehicles,1955,1:87 Bedford Tow Truck,,1,,,0,,,
1257-2,System,HO 1:87 Vehicles,1955,1:87 Bedford Delivery Truck,,1,,,0,,,
1224_1-1,System,Supplemental,1955,8 Danish Named Beams,,,,,0,,,
1213-2,System,Town Plan,1955,Small House - Right Set,,21,,,0,,,
1254-2,System,HO 1:87 Vehicles,1955,1:87 Bedford Flatbed Trailer,,1,,,0,,,
1211-2,System,Town Plan,1955,Small House Set,,19,,,0,,,
1221-2,System,Supplemental,1955,1 x 1 Bricks,,40,,,0,,,
1222-2,System,Supplemental,1955,1 x 1 Round Bricks,,40,,,0,,,
1224-2,System,Supplemental,1955,8 Named Beams,,8,,,0,,,97.2
1230-2,System,Supplemental,1955,Windows and Door without Glass,,7,,,0,,,
1252-2,System,HO 1:87 Vehicles,1955,1:87 Esso Bedford Trailer,,1,,,0,,,
1216-2,System,Supplemental,1955,4 x 4 Corner Bricks,,5,,,0,,,
1215-2,System,Supplemental,1955,2 x 8 & 2 x 10 Bricks,,5,,,0,,,
1217-2,System,Supplemental,1955,2 x 4 Bricks,,13,,,0,,,
1220-2,System,Supplemental,1955,1 x 2 Bricks,,26,,,0,,,
1235-2,System,Supplemental,1955,Garage Plate and Door,,3,,,0,,,
1237-2,System,Town Plan,1955,Service Station,,,,,0,,,
1218-2,System,Supplemental,1955,2 x 3 Bricks,,15,,,0,,,
1219-2,System,Supplemental,1955,2 x 2 Bricks,,20,,,0,,,
1300-1,System,Mosaic,1955,Lego Mosaik Set (Small),,47,,,0,,,
1301-1,System,Mosaic,1955,Lego Mosaik Set (Large),,,,,0,,,
1224A-1,System,Supplemental,1955,1 x 6 and 1 x 8 Bricks,,9,,,0,,,
236-1,System,Town Plan,1956,Garage with Automatic Door (White base and door frame),,69,,,0,,,12.4
231-2,System,Supplemental,1956,Esso Pumps/Sign,,2,,,0,,,55
250-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Tanker,,1,,,0,,,37.95
251-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Truck,,1,,,0,,,42.17
700_0-1,System,Town Plan,1956,Gift Package,,,,,0,,,
252-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Trailer,,1,,,0,,,
700_5-2,System,Basic Set,1956,Gift Package,,,,,0,,,
700_3A-2,System,Town Plan,1956,Gift Package,,,,,0,,,
700_4-3,System,Town Plan,1956,Gift Package,,,,,0,,,
700_1-2,System,Town Plan,1956,Gift Package,,,,,0,,,
700_3-2,System,Town Plan,1956,Gift Package,,,,,0,,,
700_6-2,System,Town Plan,1956,Gift Package,,,,,0,,,
224-1,System,Supplemental,1956,2 x 2 & 2 x 4 Curved Bricks,,14,,,0,,,
1270-1,System,HO 1:87 Vehicles,1956,5 Cyclists / Motorcyclists,,5,,,0,,,
275-2,System,HO 1:87 Vehicles,1956,1:87 VW Van,,1,,,0,,,
1310-1,System,Town Plan,1956,ESSO Filling Station,,96,,,0,,,
1231-2,System,Supplemental,1956,"Windows and Door with Glass, Red",,10,,,0,,,
1271-2,System,Town Plan,1956,Traffic Police Set,,6,,,0,,,
1231-3,System,Supplemental,1956,"Windows and Door with Glass, White",,10,,,0,,,
1200-2,System,Town Plan,1956,"LEGO Town Plan Board, Small Plastic",,1,,,0,,,
700_2-2,System,Basic Set,1956,Gift Package,,,,,0,,,
1226-2,System,Supplemental,1956,6 x 8 & 2 x 8 Plates,,4,,,0,,,
1228-2,System,Supplemental,1956,4 x 8 Curved & 2 x 8 Plates,,5,,,0,,,
1227-2,System,Supplemental,1956,4 x 8 & 2 x 8 Plates,,5,,,0,,,
283-1,System,Supplemental,1957,"Sloping Ridge and Valley Bricks, Red",,20,,,0,,,9
225-1,System,Supplemental,1957,1 x 6 and 1 x 8 Bricks,,9,,,0,,,21.36
283-2,System,Supplemental,1957,"Sloping Ridge and Valley Bricks, Blue",,20,,,0,,,
1309-1,System,Town Plan,1957,Church,,150,,,0,,,1586.12
1308-1,System,Town Plan,1957,Fire Station,,111,,,0,,,
1233-2,System,Supplemental,1957,Light Masts,,4,,,0,,,
1307-1,System,Town Plan,1957,VW Auto Showroom,,51,,,0,,,
214-4,System,Supplemental,1957,Windows and Doors Retailer Pack,,0,,,0,,,
236-2,System,Town Plan,1957,Garage and Van,,69,,,0,,,356.23
700_0-2,System,,1957,Canister Set (Switzerland),,196,,,0,,,
700_3A-3,System,,1957,Canister Set (Switzerland),,96,,,0,,,
1306-1,System,Town Plan,1957,VW Garage,,45,,,0,,,
700_1-3,System,,1957,Canister Set (Switzerland),,,,,0,,,
1234-2,System,Supplemental,1957,Letter Bricks,,,,,0,,,
700_6-3,System,,1957,Canister Set (Switzerland),,,,,0,,,
1245-2,System,Supplemental,1957,Lighting Device Pack,,3,,,0,,,
200A-1,System,Town Plan,1957,LEGO Town Plan Wooden Board,,1,,,0,,,
200-3,System,Town Plan,1957,"LEGO Town Plan Board, Plastic",,1,,,0,,,228.86
1242-2,System,Supplemental,1957,International Flags,,5,,,0,,,
1200M-1,System,Town Plan,1957,LEGO Town Plan Wooden Board,,1,,,0,,,125.15
1242D-1,System,Supplemental,1957,5 Danish Flags,,5,,,0,,,
1223-3,System,Supplemental,1957,2 x 2 Curved Bricks,,20,,,0,,,
200M-1,System,Town Plan,1957,LEGO Town Plan Wooden Board,,1,,,0,,,
1231-4,System,Supplemental,1957,Windows and Doors Retailer Pack,,,,,0,,,
1260-2,System,HO 1:87 Vehicles,1957,1:87 Twenty Four Models,,24,,,0,,,
234-1,System,Supplemental,1958,Letter Bricks,,50,,,0,,,7
235-1,System,Supplemental,1958,Garage Plate and Door (White Base and Door Frame),,5,,,0,,,14.13
245-1,System,Supplemental,1958,Lighting Device Pack,,3,,,0,,,8.07
226-1,System,Supplemental,1958,8 Named Beams,,8,,,0,,,
310-5,System,Town Plan,1958,ESSO Filling Station,,98,,,0,,,657.23
230-2,System,Supplemental,1958,Six Trees and Bushes,,6,,,0,,,35.33
223-2,System,Supplemental,1958,1 x 1 Round Bricks,,40,,,0,,,8.5
212-1,System,Town Plan,1958,Small House - Left Set,,21,,,0,,,16.97
224-3,System,Supplemental,1958,2 x 2 Curved Bricks,,20,,,0,,,10.5
232-2,System,Supplemental,1958,16 Road Signs,,16,,,0,,,24.41
211-2,System,Town Plan,1958,Small House Set,,20,,,0,,,70
218-2,System,Supplemental,1958,2 x 4 Bricks,,13,,,0,,,7.42
