NUMBER,LINK,THEME,SUBTHEME,YEAR,NAME,MINIFIGS,PIECES,PRICE,PRICE_PER_PIECE,OWNED,WANTED,VALUE_NEW,VALUE_USED
2856197-1,https://brickset.com/sets/2856197-1,Star Wars,Minifig Pack,2011,Shadow ARF Trooper,1,5,0,0,0,,177.72,112.41
5000063-1,https://brickset.com/sets/5000063-1,Star Wars,Episode I,2012,TC-14,1,3,0,0,0,,52.38,36.79
40138-1,https://brickset.com/sets/40138-1,Seasonal,Christmas,2015,Christmas Train,0,233,0,0,0,,40.6,25.41
5000202-1,https://brickset.com/sets/5000202-1,The Lord of the Rings,The Fellowship of the Ring,2012,Elrond,1,6,0,0,0,,24.46,17.28
5000062-1,https://brickset.com/sets/5000062-1,Star Wars,Minifig Pack,2012,Darth Maul,1,7,0,0,0,,30.76,15
2846-1,https://brickset.com/sets/2846-1,Western,Indians,1997,Indian Kayak,1,18,0,0,0,,29.8,12.11
1411-1,https://brickset.com/sets/1411-1,Studios,,2001,Pirates Treasure Hunt,4,31,0,0,1,,23.12,12
5002126-1,https://brickset.com/sets/5002126-1,DC Comics Super Heroes,Justice League,2014,Martian Manhunter ,1,4,0,0,0,,12.62,8
2845-1,https://brickset.com/sets/2845-1,Western,Indians,1997,Indian Chief,1,20,0,0,0,,25.71,5.4
40049-1,https://brickset.com/sets/40049-1,Miscellaneous,,2012,Mini Sopwith Camel,0,65,0,0,0,,10.19,4.48
5000281-1,https://brickset.com/sets/5000281-1,City,Police,2012,Chase McCain,1,4,0,0,0,,6.61,1.77
1995-1,https://brickset.com/sets/1995-1,Classic,,1999,{Racer},0,15,0,0,0,,3.83,1.3
1841-1,https://brickset.com/sets/1841-1,Classic,,1999,{Aeroplane},0,15,0,0,0,,3.2,1.18
2025-1,https://brickset.com/sets/2025-1,Classic,,1999,{Boat},0,12,0,0,0,,3.18,1.13
2045-1,https://brickset.com/sets/2045-1,Classic,,1999,{Car},0,17,0,0,0,,2.22,1.06
2047-1,https://brickset.com/sets/2047-1,Classic,,1999,{Aeroplane},0,13,0,0,0,,4.04,1.03
2069-1,https://brickset.com/sets/2069-1,Classic,,1999,{Boat},0,15,0,0,0,,5.29,0.99
2075-1,https://brickset.com/sets/2075-1,Classic,,1999,{Aeroplane},0,14,0,0,0,,4,0.98
HPSDCC1-1,https://brickset.com/sets/HPSDCC1-1,Harry Potter,General,2011,Harry Potter Minifigure,0,5,0,0,0,,,
SDCC2011-1,https://brickset.com/sets/SDCC2011-1,Harry Potter,General,2011,Voldemort Minifigure,0,5,0,0,0,,,
BILBO-1,https://brickset.com/sets/BILBO-1,The Hobbit,An Unexpected Journey,2012,Bilbo Baggins ,0,4,0,0,0,,,
1551-1,https://brickset.com/sets/1551-1,Basic,,1985,Duck,0,6,0.4,0.066666667,0,,3.77,1.5
231-3,https://brickset.com/sets/231-3,Samsonite,Supplemental,1961,Esso Stations (Pumps and Sign),0,2,0.5,0.25,0,,,
700-3,https://brickset.com/sets/700-3,Samsonite,Supplemental,1961,10 X 20 Large Base Plate ,0,2,0.5,0.25,0,,,
245-3,https://brickset.com/sets/245-3,Samsonite,Supplemental,1961,Lighting Device Pack,0,3,0.5,0.166666667,0,,,
235-3,https://brickset.com/sets/235-3,Samsonite,Supplemental,1961,Garage Plate and Door (White Base and Door Frame),0,3,0.5,0.166666667,0,,,
