NUMBER,LINK,THEME,SUBTHEME,YEAR,NAME,MINIFIGS,PIECES,PRICE,PRICE_PER_PIECE,OWNED,WANTED,VALUE_NEW,VALUE_USED
75192-1,https://brickset.com/sets/75192-1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8,7541,799.99,0.1060854,0,,744.56,681.18
75313-1,https://brickset.com/sets/75313-1,Star Wars,Ultimate Collector Series,2021,AT-AT,9,6785,799.99,0.117905674,0,,824.48,664.99
2000430-1,https://brickset.com/sets/2000430-1,Serious Play,,2013,Identity and Landscape Kit,6,2631,789.99,0.300262258,0,,785.14,
2000431-1,https://brickset.com/sets/2000431-1,Serious Play,,2013,Connections Kit,,2455,754.99,0.307531568,0,,698.82,
75252-1,https://brickset.com/sets/75252-1,Star Wars,Ultimate Collector Series,2019,Imperial Star Destroyer,2,4784,699.99,0.14631898,0,,618.54,593.03
10294-1,https://brickset.com/sets/10294-1,Creator Expert,Miscellaneous,2021,Titanic,,9090,629.99,0.069305831,0,,750.24,612.29
10276-1,https://brickset.com/sets/10276-1,Creator Expert,Buildings,2020,Colosseum,,9036,549.99,0.060866534,0,,576.54,431.41
10179-1,https://brickset.com/sets/10179-1,Star Wars,Ultimate Collector Series,2007,Ultimate Collector's Millennium Falcon,5,5197,499.99,0.096207427,0,,2299.99,1061.59
75159-1,https://brickset.com/sets/75159-1,Star Wars,Ultimate Collector Series,2016,Death Star,27,4016,499.99,0.124499502,0,,744.1,563.61
2000409-1,https://brickset.com/sets/2000409-1,Serious Play,,2010,Window Exploration Bag,,4900,484.99,0.098977551,0,,466.23,
42100-1,https://brickset.com/sets/42100-1,Technic,,2019,Liebherr R 9800,,4108,449.99,0.109539922,0,Yes,419.97,318.11
42131-1,https://brickset.com/sets/42131-1,Technic,,2021,Cat D11 Bulldozer,,3854,449.99,0.116759211,0,Yes,393.31,298.25
71043-1,https://brickset.com/sets/71043-1,Harry Potter,General,2018,Hogwarts Castle,28,6020,399.99,0.066443522,0,,393.59,334.04
75978-1,https://brickset.com/sets/75978-1,Harry Potter,General,2020,Diagon Alley,17,5544,399.99,0.072148268,0,,437.01,330.73
10188-1,https://brickset.com/sets/10188-1,Star Wars,Ultimate Collector Series,2008,Death Star,24,3803,399.99,0.105177491,0,,572.48,429.67
10221-1,https://brickset.com/sets/10221-1,Star Wars,Ultimate Collector Series,2011,Super Star Destroyer ,5,3152,399.99,0.126900381,0,,1075.72,697.08
10261-1,https://brickset.com/sets/10261-1,Creator Expert,Fairground,2018,Roller Coaster,11,4124,379.99,0.092141125,0,,382.06,319.01
42115-1,https://brickset.com/sets/42115-1,Technic,,2020,Lamborghini Sián FKP 37,,3696,379.99,0.102811147,0,,293.1,248.78
10256-1,https://brickset.com/sets/10256-1,Creator Expert,Buildings,2017,Taj Mahal,,5923,369.99,0.062466655,0,,408.62,297.94
51515-1,https://brickset.com/sets/51515-1,Mindstorms,,2020,Robot Inventor,,949,359.99,0.379336143,0,,313.07,210.33
45678-1,https://brickset.com/sets/45678-1,Education,SPIKE Prime,2020,SPIKE Prime Set,2,528,359.95,0.681723485,0,,390.65,
10299-1,https://brickset.com/sets/10299-1,Creator Expert,Buildings,2022,Real Madrid - Santiago Bernabéu Stadium,,5876,349.99,0.059562628,0,,413.46,
10284-1,https://brickset.com/sets/10284-1,Creator Expert,Buildings,2021,Camp Nou - FC Barcelona,,5509,349.99,0.063530586,0,,348.04,302.7
75827-1,https://brickset.com/sets/75827-1,Ghostbusters,,2016,Firehouse Headquarters ,10,4634,349.99,0.075526543,0,,598,550.58
71040-1,https://brickset.com/sets/71040-1,Disney,Disney Parks,2016,Disney Castle,7,4080,349.99,0.085781863,0,,353.02,285.54
21323-1,https://brickset.com/sets/21323-1,Ideas,,2020,Grand Piano,,3662,349.99,0.095573457,0,,341.68,268.11
42083-1,https://brickset.com/sets/42083-1,Technic,,2018,Bugatti Chiron,,3599,349.99,0.097246457,0,,345.42,257.93
75309-1,https://brickset.com/sets/75309-1,Star Wars,Ultimate Collector Series,2021,Republic Gunship,2,3292,349.99,0.10631531,0,,343.09,369.33
75290-1,https://brickset.com/sets/75290-1,Star Wars,Master Builder Series,2020,Mos Eisley Cantina,21,3187,349.99,0.109818011,0,,339.72,244.5
76042-1,https://brickset.com/sets/76042-1,Marvel Super Heroes,The Avengers,2015,The SHIELD Helicarrier,17,2996,349.99,0.116819092,0,,468.33,363.31
75222-1,https://brickset.com/sets/75222-1,Star Wars,Master Builder Series,2018,Betrayal at Cloud City,21,2812,349.99,0.124463016,0,,523.4,446.43
31313-1,https://brickset.com/sets/31313-1,Mindstorms,EV3,2013,Mindstorms EV3,,601,349.99,0.58234609,0,,414.89,243.13
45544-1,https://brickset.com/sets/45544-1,Education,Mindstorms,2013,Education EV3 Core Set,,541,339.95,0.628373383,0,,491.71,363.4
71044-1,https://brickset.com/sets/71044-1,Disney,Disney Parks,2019,Disney Train and Station,5,2925,329.99,0.112817094,0,,429.86,312
10234-1,https://brickset.com/sets/10234-1,Creator Expert,Buildings,2013,Sydney Opera House,,2989,319.99,0.107055872,0,,379.12,257.8
10189-1,https://brickset.com/sets/10189-1,Creator Expert,Buildings,2008,Taj Mahal,,5922,299.99,0.050656873,0,,1130.57,342.63
71741-1,https://brickset.com/sets/71741-1,Ninjago,Legacy,2021,NINJAGO City Gardens,22,5685,299.99,0.05276869,0,,267.7,259.15
70620-1,https://brickset.com/sets/70620-1,The LEGO Ninjago Movie,,2017,NINJAGO City,19,4867,299.99,0.061637559,0,,672.87,599.29
42082-1,https://brickset.com/sets/42082-1,Technic,,2018,Rough Terrain Crane,,4057,299.99,0.073943801,0,,264.34,208.31
10272-1,https://brickset.com/sets/10272-1,Creator Expert,Buildings,2020,Old Trafford - Manchester United,,3898,299.99,0.076959979,0,,236.95,259
76178-1,https://brickset.com/sets/76178-1,Marvel Super Heroes,Spider-Man,2021,Daily Bugle,25,3772,299.99,0.079530753,0,,344.39,290.86
75059-1,https://brickset.com/sets/75059-1,Star Wars,Ultimate Collector Series,2014,Sandcrawler,14,3296,299.99,0.091016383,0,,445.93,386.49
70840-1,https://brickset.com/sets/70840-1,The LEGO Movie 2,,2019,Welcome to Apocalypseburg!,13,3178,299.99,0.094395846,0,,590.82,510.39
42056-1,https://brickset.com/sets/42056-1,Technic,,2016,Porsche 911 GT3 RS,,2704,299.99,0.110943047,0,,584.67,437.72
42129-1,https://brickset.com/sets/42129-1,Technic,,2021,4x4 Mercedes-Benz Zetros Trial Truck,,2110,299.99,0.142175355,0,,219.42,
910023-1,https://brickset.com/sets/910023-1,Bricklink,2021 Designer Program,2022,Venetian Houses,,3470,289.99,0.083570605,0,,,
42070-1,https://brickset.com/sets/42070-1,Technic,,2017,6x6 All Terrain Tow Truck,,1862,289.99,0.155741139,0,,249.62,190.7
10255-1,https://brickset.com/sets/10255-1,Creator Expert,Modular Buildings Collection,2017,Assembly Square,9,4002,279.99,0.069962519,0,,244.99,232.6
42055-1,https://brickset.com/sets/42055-1,Technic,,2016,Bucket Wheel Excavator,,3929,279.99,0.071262408,0,,395.56,279.58
8547-1,https://brickset.com/sets/8547-1,Mindstorms,NXT 2.0,2009,Mindstorms NXT 2.0,,619,279.99,0.452326333,0,,300,182.99
70922-1,https://brickset.com/sets/70922-1,The LEGO Batman Movie,,2017,The Joker Manor,10,3444,269.99,0.078394309,0,,510.05,404.72
10143-1,https://brickset.com/sets/10143-1,Star Wars,Ultimate Collector Series,2005,Death Star II,,3441,269.99,0.078462656,0,,2252.01,1153.55
10030-1,https://brickset.com/sets/10030-1,Star Wars,Ultimate Collector Series,2002,Imperial Star Destroyer,,3096,269.99,0.087206072,0,Yes,1471.58,706.7
76052-1,https://brickset.com/sets/76052-1,DC Comics Super Heroes,Batman Classic TV Series,2016,Batman Classic TV Series - Batcave,9,2526,269.99,0.106884402,0,,208.48,179.85
10212-1,https://brickset.com/sets/10212-1,Star Wars,Ultimate Collector Series,2010,Imperial Shuttle,5,2503,259.99,0.103871354,0,,927.36,654.67
9680-1,https://brickset.com/sets/9680-1,Education,,1999,"Energy Work, Power Starter Set",,804,250,0.310945274,0,,74.8,100
9797-1,https://brickset.com/sets/9797-1,Education,,2007,Mindstorms Education Base Set,,431,250,0.580046404,0,,425,68
31203-1,https://brickset.com/sets/31203-1,Art,Miscellaneous,2021,World Map,,11695,249.99,0.021375802,1,,251.72,
10253-1,https://brickset.com/sets/10253-1,Creator Expert,Buildings,2016,Big Ben,,4163,249.99,0.060050444,0,,372.18,299.5
21330-1,https://brickset.com/sets/21330-1,Ideas,Licensed,2021,Home Alone,5,3955,249.99,0.063208597,0,,316.97,200
76139-1,https://brickset.com/sets/76139-1,DC Comics Super Heroes,Batman 1989,2019,1989 Batmobile,3,3306,249.99,0.07561706,0,,314.91,260.77
10196-1,https://brickset.com/sets/10196-1,Creator Expert,Fairground,2009,Grand Carousel,9,3263,249.99,0.076613546,0,,2254.02,897.01
10273-1,https://brickset.com/sets/10273-1,Creator Expert,Fairground,2020,Haunted House,10,3231,249.99,0.077372331,0,,205.75,179.57
75936-1,https://brickset.com/sets/75936-1,Jurassic World,Jurassic Park,2019,Jurassic Park: T. rex Rampage,6,3120,249.99,0.080125,0,,310.14,266.34
76391-1,https://brickset.com/sets/76391-1,Harry Potter,General,2021,Hogwarts Icons Collectors' Edition,3,3010,249.99,0.083053156,0,,258.96,
21137-1,https://brickset.com/sets/21137-1,Minecraft,Minifig-scale,2017,The Mountain Cave,6,2863,249.99,0.087317499,0,,1002.95,837.42
70810-1,https://brickset.com/sets/70810-1,The LEGO Movie,,2014,MetalBeard's Sea Cow,5,2741,249.99,0.09120394,0,,366.9,307.86
42114-1,https://brickset.com/sets/42114-1,Technic,,2020,6x6 Volvo Articulated Hauler,,2193,249.99,0.113994528,0,,202.58,175.88
75098-1,https://brickset.com/sets/75098-1,Star Wars,Ultimate Collector Series,2016,Assault on Hoth,15,2144,249.99,0.116599813,0,,424.49,331.55
10236-1,https://brickset.com/sets/10236-1,Star Wars,Ultimate Collector Series,2013,Ewok Village,17,1990,249.99,0.125623116,0,,458.97,420.55
10195-1,https://brickset.com/sets/10195-1,Star Wars,The Clone Wars,2009,Republic Dropship with AT-OT Walker,8,1758,249.99,0.142201365,0,,1326.57,747.37
42030-1,https://brickset.com/sets/42030-1,Technic,,2014,Volvo L350F Wheel Loader,,1636,249.99,0.152805623,0,,350.59,232
2000451-1,https://brickset.com/sets/2000451-1,Education,,2016,The Panama Canal,1,1184,249.99,0.211140203,0,,334.32,213.56
42099-1,https://brickset.com/sets/42099-1,Technic,,2019,4x4 X-Treme Off-Roader,,958,249.99,0.260949896,0,,192.35,146.19
8527-1,https://brickset.com/sets/8527-1,Mindstorms,NXT,2006,Mindstorms NXT,,577,249.99,0.433258232,0,,180,158.85
88016-1,https://brickset.com/sets/88016-1,Powered Up,,2021,Large Hub,,2,249.99,124.995,0,,236.76,
45028-1,https://brickset.com/sets/45028-1,Education,Duplo,2020,My XL World,6,480,249.95,0.520729167,0,,203.59,
