"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1955,"System",24,438,17.52,0,NA,NA,97.2,0
1956,"System",11,226,20.5454545454545,0,NA,NA,33.7,0
1957,"System",15,828,51.75,0,NA,NA,493.1775,0
1958,"System",39,1391,34.775,0,NA,8.995,141.468823529412,0
1959,"System",7,136,19.4285714285714,0,NA,26.99,50.2266666666667,0
1961,"Samsonite",46,2135,46.4130434782609,65.15,1.44777777777778,NA,NA,0.0305152224824356
1961,"System",9,968,107.555555555556,0,NA,277.73,168.925,0
1962,"System",11,1612,146.545454545455,0,NA,26.52,296.91375,0
1963,"Samsonite",7,5227,746.714285714286,125.9,41.9666666666667,NA,270,0.0240864740769084
1963,"System",11,733,66.6363636363636,0,NA,148.466666666667,53.1866666666667,0
1964,"Samsonite",7,540,67.5,10.83,1.54714285714286,NA,NA,0.0200555555555556
1964,"System",10,1485,135,0,NA,161.59,83.932,0
1965,"Samsonite",6,989,164.833333333333,20.35,5.0875,80,137.6075,0.0205763397371082
1965,"System",10,996,76.6153846153846,0,NA,NA,38.9083333333333,0
1966,"Samsonite",37,5891,155.026315789474,141.97,5.07035714285714,162.5,49.9316666666667,0.0240994737735529
1966,"System",77,1663,21.5974025974026,0,NA,32.7316666666667,34.5251612903226,0
1966,"Trains",11,842,76.5454545454545,4,2,52.3971428571429,85.5036363636364,0.00475059382422803
1967,"Samsonite",13,3522,270.923076923077,91.89,7.6575,NA,56.5933333333333,0.0260902896081772
1967,"System",12,1470,122.5,0,NA,116.725,88.3488888888889,0
1967,"Trains",4,564,141,4,2,14.115,37.2175,0.00709219858156028
1968,"Samsonite",24,4023,167.625,82.82,13.8033333333333,150,109.133333333333,0.0205866268953517
1968,"System",11,2243,131.941176470588,0,NA,93.0233333333333,40.1306666666667,0
1968,"Trains",6,1033,172.166666666667,19.99,19.99,339.705,83.89,0.019351403678606
1969,"Duplo",1,44,22,0,NA,39,NA,0
1969,"Legoland",3,394,131.333333333333,0,NA,NA,69.5333333333333,0
1969,"Samsonite",16,2133,133.3125,52.93,13.2325,265.26,102.09,0.0248148148148148
1969,"System",29,1321,45.551724137931,9,3,24.3985714285714,19.8423076923077,0.00681302043906132
1969,"Trains",20,1734,86.7,0,NA,282.579375,93.251052631579,0
1969,"Universal Building Set",4,756,189,0,NA,205.453333333333,131.945,0
1970,"Duplo",1,49,24.5,0,NA,79,NA,0
1970,"LEGOLAND",9,713,64.8181818181818,0,NA,104.71,25.59,0
1970,"Minitalia",3,567,141.75,0,NA,NA,98.225,0
1970,"Samsonite",7,1126,160.857142857143,23.97,7.99,NA,78.42,0.0212877442273535
1970,"System",1,8,8,0,NA,NA,NA,0
1970,"Trains",3,306,102,0,NA,626.585,164.426666666667,0
1970,"Universal Building Set",3,265,88.3333333333333,0,NA,63.865,58.69,0
1971,"Homemaker",2,329,164.5,0,NA,NA,97.005,0
1971,"LEGOLAND",27,2153,79.7407407407407,14,14,139.59,28.7703846153846,0.00650255457501161
1971,"Minitalia",5,539,107.8,0,NA,80.89,203.263333333333,0
1971,"Samsonite",32,11268,352.125,170.27,8.96157894736842,51.095,38.66,0.0151109336173234
1971,"Trains",2,61,30.5,0,NA,NA,28.275,0
1971,"Universal Building Set",5,20,4,7.6,2.53333333333333,11.9266666666667,31.87,0.38
1972,"Dacta",2,2300,575,0,NA,74.64,66.93,0
1972,"Duplo",1,17,17,0,NA,NA,NA,0
1972,"Homemaker",1,259,259,0,NA,NA,30.95,0
1972,"LEGOLAND",16,1336,83.5,0,NA,118.978,30.645,0
1972,"Samsonite",5,2983,596.6,39.91,7.982,NA,NA,0.0133791485082132
1972,"Trains",9,926,102.888888888889,0,NA,170.7025,82.7655555555556,0
1972,"Universal Building Set",1,163,163,0,NA,87.89,29.35,0
1973,"Basic",12,426,35.5,0,NA,41.6936363636364,19.5745454545455,0
1973,"Duplo",3,102,25.5,0,NA,NA,NA,0
1973,"Homemaker",8,545,68.125,0,NA,76.11,23.2525,0
1973,"LEGOLAND",27,2796,99.8571428571429,0,NA,231.732142857143,34.9467857142857,0
1973,"Minitalia",7,473,67.5714285714286,0,NA,NA,60.805,0
1973,"Samsonite",1,88,88,0,NA,NA,NA,0
1973,"Universal Building Set",3,3271,297.363636363636,42,14,211.62,62.0066666666667,0.0128401100580862
1974,"Basic",1,48,48,0,NA,30.55,NA,0
1974,"Building Set with People",5,467,93.4,5,5,68.68,19.964,0.0107066381156317
1974,"Homemaker",8,1232,154,9,9,86.3566666666667,27.86375,0.00730519480519481
1974,"LEGOLAND",13,1069,82.2307692307692,14,14,120.0525,114.767692307692,0.0130963517305893
1974,"Trains",4,540,135,0,NA,537.12,62.2125,0
1974,"Universal Building Set",4,1023,170.5,0,NA,145.004,26.7725,0
1975,"Building Set with People",6,980,163.333333333333,0,NA,131.554,25.2716666666667,0
1975,"Duplo",7,1227,175.285714285714,0,NA,NA,15,0
1975,"Hobby Set",3,634,211.333333333333,0,NA,397.405,62.12,0
1975,"LEGOLAND",16,2683,167.6875,14.95,14.95,128.170909090909,65.26375,0.0055721207603429
1975,"PreSchool",1,68,22.6666666666667,0,NA,NA,NA,0
1975,"Samsonite",1,330,330,0,NA,NA,NA,0
1975,"Trains",6,1000,166.666666666667,0,NA,574.066666666667,80.9,0
1976,"Basic",8,3486,249,2.75,2.75,176.593333333333,70.3036363636364,0.000788869764773379
1976,"Building Set with People",7,438,62.5714285714286,0,NA,73.126,19.4328571428571,0
1976,"Dacta",5,1335,267,118.5,39.5,95.41,NA,0.0887640449438202
1976,"Duplo",3,48,16,0,NA,NA,23.16,0
1976,"Hobby Set",4,995,248.75,0,NA,127.893333333333,98.2475,0
1976,"LEGOLAND",27,3419,122.107142857143,20,10,147.872857142857,38.6025925925926,0.00584966364434045
1976,"PreSchool",4,167,41.75,0,NA,NA,75,0
1976,"Samsonite",1,291,291,0,NA,NA,NA,0
